type,bom_ref,license-id,group,author,name,version,purl,path,description,vcs-url,vcs-comment,website-url,website-comment,issue-tracker-url,issue-tracker-comment,distribution-url,distribution-comment,hash-alg,hash-value,author-email,deprecated-status,deprecation-reason,timestamp
application,,,,,npm,10.9.2,,,,,,,,,,,,,,,,,
application,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-npm,3.0.0,,,Create CycloneDX Software Bill of Materials (SBOM) from NPM projects.,git+https://github.com/CycloneDX/cyclonedx-node-npm.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-node-npm#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-node-npm/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,,Apache-2.0,@cyclonedx,Jan Kowalleck,cyclonedx-library,8.3.0,,,Core functionality of CycloneDX for JavaScript (Node.js or WebBrowser).,git+https://github.com/CycloneDX/cyclonedx-javascript-library.git,"as detected from PackageJson property ""repository.url""",https://github.com/CycloneDX/cyclonedx-javascript-library#readme,"as detected from PackageJson property ""homepage""",https://github.com/CycloneDX/cyclonedx-javascript-library/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
application,reporting-aggregator-svc@0.0.2,,,Ujjwal Panwar,reporting-aggregator-svc,0.0.2,pkg:npm/reporting-aggregator-svc@0.0.2?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fmojaloop%2Freporting-aggregator-svc.git,,A Mojaloop reporting service that aggregates transactional data from MySQL by joining multiple tables and composes denormalized records into MongoDB for efficient reporting,git+https://github.com/mojaloop/reporting-aggregator-svc.git,"as detected from PackageJson property ""repository.url""",https://github.com/mojaloop/reporting-aggregator-svc#readme,"as detected from PackageJson property ""homepage""",https://github.com/mojaloop/reporting-aggregator-svc/issues,"as detected from PackageJson property ""bugs.url""",,,,,,,,
library,@commitlint/cli@19.8.1,MIT,@commitlint,Mario Nebl,cli,19.8.1,pkg:npm/%40commitlint/cli@19.8.1#%40commitlint/cli,node_modules/@commitlint/cli,Lint your commit messages,git+https://github.com/conventional-changelog/commitlint.git#@commitlint/cli,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://commitlint.js.org/,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/commitlint/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@commitlint/cli/-/cli-19.8.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,2d751d34892ca72c6b955e950c7581982651b6411546904ac62d86b70dc9e787065a12c24e8b950ff43a652692bddd9868339b58af260e3af3dd320ab5a40c00,hello@herebecode.com,active,Active in npm registory,2025-05-08T03:55:34.603Z
library,@commitlint/format@19.8.1,MIT,@commitlint,Mario Nebl,format,19.8.1,pkg:npm/%40commitlint/format@19.8.1#%40commitlint/format,node_modules/@commitlint/format,Format commitlint reports,git+https://github.com/conventional-changelog/commitlint.git#@commitlint/format,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://commitlint.js.org/,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/commitlint/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@commitlint/format/-/format-19.8.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,912263df8469d7422d3fe121f68088b62b8dfc7c0640c5c19c8464ebd8dd3b0116f65956f45972a9c5986c73d21a87e68eca9ea316b7f14684039b6c6e6d895b,hello@herebecode.com,active,Active in npm registory,2025-05-08T03:55:25.214Z
library,@commitlint/types@19.8.1,MIT,@commitlint,Mario Nebl,types,19.8.1,pkg:npm/%40commitlint/types@19.8.1#%40commitlint/types,node_modules/@commitlint/types,Shared types for commitlint packages,git+https://github.com/conventional-changelog/commitlint.git#@commitlint/types,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://commitlint.js.org/,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/commitlint/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@commitlint/types/-/types-19.8.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,ff20ab5860a803549528e92cdb910669d3fd3e78f4a002071a9976c07d8cd98e3a74f336b9e6fcc32095383ecedd609391a2742242afce1975258efeb824f60f,hello@herebecode.com,active,Active in npm registory,2025-05-08T03:55:16.842Z
library,chalk@5.4.1,MIT,,,chalk,5.4.1,pkg:npm/chalk@5.4.1?vcs_url=git%2Bhttps%3A%2F%2Fgithub.com%2Fchalk%2Fchalk.git,node_modules/chalk,Terminal string styling done right,git+https://github.com/chalk/chalk.git,"as detected from PackageJson property ""repository.url""",https://github.com/chalk/chalk#readme,"as detected from PackageJson property ""homepage""",https://github.com/chalk/chalk/issues,"as detected from PackageJson property ""bugs.url""",,,,,,active,Active in npm registory,2024-12-21T17:04:53.207Z
library,@commitlint/lint@19.8.1,MIT,@commitlint,Mario Nebl,lint,19.8.1,pkg:npm/%40commitlint/lint@19.8.1#%40commitlint/lint,node_modules/@commitlint/lint,Lint a string against commitlint rules,git+https://github.com/conventional-changelog/commitlint.git#@commitlint/lint,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://commitlint.js.org/,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/commitlint/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@commitlint/lint/-/lint-19.8.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,e763c56ec97ed44bccba89195cb4653ac75c2c77f5d22b133e55b0a18d4540889d4ec4ef8ca5d55d86fb02fb695a40f344ed99b2a2203caedb23df31f0b45413,hello@herebecode.com,active,Active in npm registory,2025-05-08T03:55:29.801Z
library,@commitlint/is-ignored@19.8.1,MIT,@commitlint,Mario Nebl,is-ignored,19.8.1,pkg:npm/%40commitlint/is-ignored@19.8.1#%40commitlint/is-ignored,node_modules/@commitlint/is-ignored,Lint your commit messages,git+https://github.com/conventional-changelog/commitlint.git#@commitlint/is-ignored,"as detected from PackageJson property ""repository.url"" and ""repository.directory""",https://commitlint.js.org/,"as detected from PackageJson property ""homepage""",https://github.com/conventional-changelog/commitlint/issues,"as detected from PackageJson property ""bugs.url""",https://registry.npmjs.org/@commitlint/is-ignored/-/is-ignored-19.8.1.tgz,"as detected from npm-ls property ""resolved"" and property ""integrity""",SHA-512,01c78e84485e901510e5dceb5610c3b1b31a6392eab4df2cd66a929d3d8acf5111bd566436286bb3749f93525efebc5135b5d817329948768fb042490c957c76,hello@herebecode.com,active,Active in npm registory,2025-05-08T03:55:26.610Z
